NOM ÉTABLISSEMENT,CATÉGORIES,TAGS,ADRESSE,VILLE,CP,RÉGION,Pays,Accroche,Description,COVER IMG,Logo,Web,Facebook,Instagram,Contact,Téléphone,
MORGAN HOT CRUISING BAR,Cruising,,"3 Rue Claudia, 06000 NICE",Nice,6000,Provence-Alpes-Côte d’Azur,France,Détente et convivialité à Nice !,"Le Morgan Club est un hot cruising bar gay à Nice, proposant des soirées thématiques cruising et sexe, avec bar, lounge, cabines, sling, darkroom. Ouvert mardi-dimanche 22h-2h30/3h30. Entrée 13-15€. Partenaire santé sexuelle.",,,https://www.morganclub.fr,https://www.facebook.com/morgancrusingbar/,,,04 93 86 86 08,
LE CODE (06),Saunas,Membre du SNEG&Co,"4 Rue Jean-Pierre Papon, 06300 NICE",Nice,6300,Provence-Alpes-Côte d’Azur,France,Votre oasis de détente sur la Côte d’Azur.,"Club exclusif proposant sauna et espace lounge, idéal pour une soirée relaxante dans une ambiance méditerranéenne.",,,Non trouvé,,,,,
AIX SAUNA CLUB,Saunas,Membre du SNEG&Co,"8 bis Rue Annonerie Vieille, 13100 AIX-EN-PROVENCE",Aix-en-Provence,13100,Provence-Alpes-Côte d’Azur,France,Bien-être provençal garanti !,"Sauna moderne à Aix, offrant relaxation, hammam et événements sociaux dans un cadre inspiré de la Provence.",,,Non trouvé,,,,,
APOLLON BAR (14),Cruising,Membre du SNEG&Co,"16 Rue de Varignon, 14000 CAEN",Caen,14000,Normandie,France,L’élégance normande en soirée.,"Le Apollon est un bar cruising gay à Caen en Normandie, proposant poppers, cabines, espace bar, TV, sling, boutique sex, lieu de rencontre et drague.",,,https://www.lapollon.fr/,https://www.facebook.com/lapollon.fr/,,lapollon@aol.com,02 31 93 00 82,
QG SAUNA,Saunas,Membre du SNEG&Co,"13 Avenue Coligny, 17000 LA ROCHELLE",La Rochelle,17000,Nouvelle-Aquitaine,France,Détente au bord de l’océan.,"Au cœur de La Rochelle, le QG Sauna est un établissement gay, bi et mixte ouvert 6 jours sur 7, avec bar licence IV, fumoir, spa à 34°, hammam aux huiles essentielles, sauna sec, cabines de relaxation, labyrinthe, sling et croix de Saint-André.",,,https://qgsauna.fr/,https://www.facebook.com/saunaQG/,,qgsauna@outlook.com,05 17 26 57 84,
SAVON SAUNA,Saunas,Membre du SNEG&Co,"3 Rue de Beaujouan, 18000 BOURGES",Bourges,18000,Centre-Val de Loire,France,Relaxation au cœur du Berry.,"Le Savon Sauna est un établissement ouvert à tous les publics, avec douches, grand sauna, hammam carrelé, spa pour six personnes et plusieurs cabines pour la détente.",,,https://www.leclub-advisor.com/club/savon-sauna,https://www.facebook.com/savon.sauna/,,savon.sauna@gmail.com,02 48 02 00 40,
HOT BOX,Bars,"Gay,Membre du SNEG&Co	","15 Avenue Pierre-Mendès-France, 22950 TRÉGUEUX",Trégueux,22950,Bretagne,France,Chaleur et bonne humeur à Trégueux.,"Le Hot Box est un sauna gay et libertin à Trégueux près de Saint-Brieuc en Bretagne, accueillant toutes orientations sexuelles dans une atmosphère de liberté, respect et partage, avec jeux coquins, massages érotiques et rencontres sensuelles.",,,https://www.hot-box.fr/,https://www.facebook.com/p/Hot-Box-100063706163485/,,,,
SAUNA DE LA GARE (24),Saunas,"Gay,Membre du SNEG&Co	","20 Boulevard Joseph Santraille, 24100 BERGERAC",Bergerac,24100,Nouvelle-Aquitaine,France,Votre pause détente à Bergerac.,"Le Sauna de la Gare est un établissement de 230 m² à Bergerac, exclusivement réservé aux hommes, avec hammam, cabines, bassin, sling, table de massage, salon vidéo et sauna. Ouvert 7 jours sur 7.",,,http://www.sauna-gare.com/,https://www.facebook.com/saunabergerac/,,cavalier33@orange.fr,05 53 27 35 64,
LE RESERVOIR (25),Saunas,"Gay,Membre du SNEG&Co	",1 Rue Charles Fourier 25000 BESANCON,Besançon,25000,Bourgogne-Franche-Comté,France,Plongez dans la détente à Besançon.,"Le Sauna Le Réservoir est un établissement LGBTQIA+ avec sauna, hammam et salle vidéo, incluant vente de poppers et sex toys. Ouvert 6 jours sur 7 de 13h à 19h, mixte les mardis et samedis.",,,https://www.lereservoir.info/,https://www.facebook.com/lereservoir25,https://www.instagram.com/saunalereservoir,,03 81 41 17 49,
LE CHAT TOQUE,Bars,"Gay,Membre du SNEG&Co	","21 rue Georges Cuvier, 25200 MONTBÉLIARD",Valence,25200,Bourgogne-Franche-Comté,France,Ambiance féline et détendue.,"Bar lounge à Valence, parfait pour des soirées animées avec cocktails et musique live.",,,https://www.facebook.com/LeChatToque44/,https://www.facebook.com/LeChatToqué-441929835867631/,,,03 81 32 60 97,
LE PHENIX,Saunas,"Gay,Membre du SNEG&Co	","20 bis Rue Jonchère, 26000 VALENCE",Valence,26000,Auvergne-Rhône-Alpes,France,Renaître dans la détente.,"Le Phénix Sauna Club est un établissement 100% masculin à Valence, avec jacuzzi, hammam, sauna, cabines, salle de cinéma, labyrinthe et glory holes. Hygiène, discrétion, respect et fun garantis.",,,https://www.lephenixsauna.fr/,https://www.facebook.com/people/La-PLUME-du-phenix/100078307700448/,,contact@lephenixsauna.fr,04 75 42 93 23,
